&	und
vs.	versus
vs	versus
Σ	Sigma
η	Eta
κ	Kappa
ω	Omega
σ	Sigma
α	Alpha
ν	Nu
δ	Delta
ι	Iota
_	Unterstrich
%	Prozent
&	und
*	Sternchen
+	Plus
/	Schrägstrich
=	ist gleich
^	Circumflex
~	Tilde
A. A.	A A
A.A.	A A
A.A.A.	A A A
A&A	A AND A
AAAI	A A A I
AAAM	A A A M
AAAs	A A A's
AAAS	A A A S
AAAW	A A A W
AABA	A A B A
AaB	A A B
A. A. B.	A A B
AAB	A A B
AABC	A A B C
Aabo	A A B O
AABP	A A B P
AABW	A A B W
aac	A A C
AAC	A A C
AACAR	A A C A R
AACC	A A C C
AACCUP	A A C C U P
AACMI	A A C M I
AACNo	A A C N O
AACR	A A C R
AACS	A A C S
AACSB	A A C S B
AACTA	A A C T A
AACUPR	A A C U P R
A.A.D.	A A D
AADT	A A D T
AADTs	A A D T's
Aadu	A A D U
AAEA	A A E A
AAE	A A E
AAERT	A A E R T
AAF	A A F
AAFCA	A A F C A
AAFC	A A F C
AAFC's	A A F C's
AAFld	A A F L D
AAFPOA	A A F P O A
AAGPBL	A A G P B L
AAHHE	A A H H E
AAI	A A I
AAIB	A A I B
AAIP	A A I P
AAK	A A K
Aap	A A P
AAP	A A P
AAPB	A A P B
AAPC	A A P C
AAPEP	A A P E P
AAPG	A A P G
AAPM	A A P M
AAPT	A A P T
A.A.R.M.	A A R M
A.B.A.	A B A
A. B.	A B
A.B.	A B
A.B.A. J.	A B A J
A.B.C.	A B C
A. B. G.	A B G
ABG	A B G
ABH	A B H
ABHD	A B H D
Abhi	A B H I
ABK	A B K
abl	A B L
Abl	A B L
ABL	A B L
ABLV	A B L V
ABM	A B M
ABMC	A B M C
ABN	A B N
ABN's	A B N's
Abp	A B P
ABP	A B P
ABPD	A B P D
ABPI	A B P I
ABPN	A B P N
ABPP	A B P P
ABPRS	A B P R S
ABPW	A B P W
Abr	A B R
ABR	A B R
abv	A B V
ABV	A B V
ABW	A B W
ABX	A B X
Abz	A B Z
A.C.A.	A C A
ACA	A C A
A&C	A AND C
A. C.	A C
A.C.	A C
acac	A C A C
Acad	A C A D
ACAD	A C A D
A.C.A.P.	A C A P
ACAP	A C A P
ACAS	A C A S
ACAZ	A C A Z
ACBA	A C B A
ACB	A C B
ACBL	A C B L
ACBS	A C B S
ACBSP	A C B S P
ACCA	A C C A
ACC	A C C
ACCC	A C C C
ACCJ	A C C J
ACC&S	A C C AND S
ACC's	A C C's
ACCS	A C C S
ACD	A C D
ACDC	A C D C
A.C. D.F.C. A.F.C.	A C D F C A F C
A.C.E.	A C E
ACF	A C F
ACFE	A C F E
A.C.G.	A C G
ACG	A C G
ACGIH's	A C G I H's
A.C.H.	A C H
ACH	A C H
ACHP	A C H P
ACHR	A C H R
ACHRE	A C H R E
Achs	A C H's
ACHS	A C H S
ACIA	A C I A
ACI	A C I
ACICS	A C I C S
ACIGA	A C I G A
ACIP	A C I P
Acis	A C I's
ACIS	A C I S
ACLA	A C L A
A.C.L.	A C L
